"Nameagency","Index","Year","Number","ValJan","ValFeb","ValMar","ValApr","ValMay","ValJun","ValJul","ValAug","ValSep","ValOct","ValNov","ValDec"
"Росгидромет",70153,2014,1,"70.6","61.6","54.7","  83.7","697"," 75.2","74.4","55.5","61.0","53.5","53.4","44.6"
"Росгидромет",70153,2014,2,"70.6","61.6","54.1","  84.8","788"," 73.0","74.4","54.9","60.4","55.7","53.5","44.6"
"Росгидромет",70153,2014,3,"69.9","61.6","54.1","  85.3","832"," 72.0","73.5","54.9","59.9","57.0","53.6","44.6"
"Росгидромет",70153,2014,4,"68.8","59.9","54.1","  87.4","796"," 71.5","74.4","54.4","59.6","57.6","53.7","43.9"
"Росгидромет",70153,2014,5,"68.8","59.9","54.1","  88.4","663"," 71.0","73.0","53.5","59.4","59.2","53.8","43.9"
"Росгидромет",70153,2014,6,"68.0","59.9","54.6","  86.3","559"," 70.5","71.5","54.0","58.2","59.9","53.9","43.6"
"Росгидромет",70153,2014,7,"68.0","59.9","54.6","  85.3","497"," 70.0","70.5","54.4","57.9","60.8","54.0","43.6"
"Росгидромет",70153,2014,8,"68.0","58.3","54.6","  83.2","485"," 69.5","69.5","54.9","57.2","61.2","54.1","43.6"
"Росгидромет",70153,2014,9,"68.0","57.8","54.6","  83.2","476"," 69.0","68.5","54.9","56.3","61.9","54.2","43.6"
"Росгидромет",70153,2014,10,"68.0","57.8","54.6","  80.1","425"," 68.5","67.9","55.3","56.3","62.5","54.0","43.6"
"Росгидромет",70153,2014,11,"67.3","57.8","55.2","  78.0","395"," 68.5","67.3","55.3","55.5","63.5","53.7","43.6"
"Росгидромет",70153,2014,12,"67.3","57.8","55.8","  77.0","368"," 68.5","61.6","57.0","54.9","65.1","53.5","42.9"
"Росгидромет",70153,2014,13,"67.3","56.8","56.5","  77.0","326"," 77.8","57.8","59.5","54.9","66.0","53.5","42.9"
"Росгидромет",70153,2014,14,"65.5","56.8","58.2","  81.0","281","102","56.6","67.3","54.2","67.6","52.2","43.2"
"Росгидромет",70153,2014,15,"65.5","56.8","58.8","  82.5","239"," 87.4","56.6","68.5","53.5","68.2","52.2","43.5"
"Росгидромет",70153,2014,16,"65.5","56.2","60.1"," 104","191"," 78.6","56.3","76.9","53.5","69.0","51.5","43.8"
"Росгидромет",70153,2014,17,"65.5","56.2","60.1"," 224","160"," 72.5","56.3","88.3","52.7","70.0","51.5","43.8"
"Росгидромет",70153,2014,18,"64.8","56.2","61.2"," 631","136"," 70.0","56.8","91.0","52.7","69.2","50.7","43.8"
"Росгидромет",70153,2014,19,"64.8","55.7","61.9"," 932","125"," 68.5","57.1","76.1","52.1","67.4","50.7","44.1"
"Росгидромет",70153,2014,20,"64.8","55.7","61.9","1070","119"," 68.2","57.4","72.0","52.1","65.6","50.0","44.1"
"Росгидромет",70153,2014,21,"64.8","55.7","61.9","1230","113"," 68.2","57.6","70.0","52.1","63.8","50.0","44.1"
"Росгидромет",70153,2014,22,"63.7","54.7","63.0","1280","106"," 68.2","57.4","68.2","51.4","60.0","49.2","44.1"
"Росгидромет",70153,2014,23,"63.0","54.2","63.7","1430","100"," 68.2","56.6","67.6","51.4","59.3","48.2","44.1"
"Росгидромет",70153,2014,24,"63.0","54.2","67.9","1570"," 96.4"," 68.2","56.3","63.0","51.4","57.0","47.4","44.1"
"Росгидромет",70153,2014,25,"63.0","54.2","70.2","1610"," 95.5"," 70.0","56.3","57.4","51.4","55.9","46.7","43.4"
"Росгидромет",70153,2014,26,"62.3","54.2","73.4","1530"," 88.3"," 76.1","56.8","56.8","51.4","53.3","46.7","43.4"
"Росгидромет",70153,2014,27,"62.3","54.7","76.7","1230"," 85.6"," 78.6","56.6","56.8","51.4","52.5","45.7","43.4"
"Росгидромет",70153,2014,28,"61.6","54.7","79.9"," 964"," 82.9"," 78.6","56.1","57.1","51.4","53.0","45.7","42.6"
"Росгидромет",70153,2014,29,"61.6",,"81.0"," 752"," 81.2"," 76.9","56.2","58.8","52.2","53.1","45.7","42.3"
"Росгидромет",70153,2014,30,"61.6",,"82.1"," 637"," 79.5"," 76.1","55.9","59.6","52.2","53.2","45.7","42.3"
"Росгидромет",70153,2014,31,"61.6",,"82.7",," 77.8",,"55.5","61.2",,"53.3",,"41.6"
"Росгидромет",70163,2014,1,,,,,"141","9.52","6.85"," 6.16","7.82","5.33","4.53","3.48"
"Росгидромет",70163,2014,2,,,,,"174","9.16","6.76"," 6.16","7.31","5.15","4.49","3.39"
"Росгидромет",70163,2014,3,,,,,"187","9.16","6.76"," 6.32","6.62","5.15","4.47","3.29"
"Росгидромет",70163,2014,4,,,,,"184","8.45","6.76"," 5.98","5.95","5.15","4.47","3.29"
"Росгидромет",70163,2014,5,,,,,"167","8.27","6.25"," 5.65","5.63","5.15","4.05","3.29"
"Росгидромет",70163,2014,6,,,,,"138","8.01","5.99"," 5.41","5.63","5.15","4.05","3.28"
"Росгидромет",70163,2014,7,,,,,"107","7.74","5.99"," 4.93","5.49","5.15","3.64","3.28"
"Росгидромет",70163,2014,8,,,,," 85.3","7.26","5.99"," 4.69","5.33","5.15","3.64","3.28"
"Росгидромет",70163,2014,9,,,,," 75.5","7.17","5.99"," 5.00","5.17","5.15","3.94","3.26"
"Росгидромет",70163,2014,10,,,,," 68.5","7.01","5.82"," 5.74","5.25","5.15","3.94","3.26"
"Росгидромет",70163,2014,11,,,,," 61.5","6.54","5.56"," 6.51","5.08","5.15","3.94","3.26"
"Росгидромет",70163,2014,12,,,,," 55.8","6.18","5.30"," 7.05","5.15","5.33","3.94","3.36"
"Росгидромет",70163,2014,13,,,,," 49.8","6.02","5.30"," 8.48","5.23","5.25","3.85","3.36"
"Росгидромет",70163,2014,14,,,,," 43.2","5.67","5.11","11.9","5.56","5.25","3.85","3.36"
"Росгидромет",70163,2014,15,,,,," 36.9","5.79","5.11","12.8","5.56","5.41","3.76","3.33"
